Source,Address,Request Details,Opened,Closed,Status,Supervisor District,Neighborhood,Latitude,Longitude,Media URL
Mobile/Open311,"112 GOUGH ST, SAN FRANCISCO, CA, 94102",Damaged_vandalism,11/15/2018 03:43:53 PM,,Open,5,Civic Center,37.774330456776,-122.422464955712,http://mobile311.sfgov.org/reports/9814032/photos
Phone,"576 DEWEY BLVD, SAN FRANCISCO, CA, 94116",Dead_tree,01/20/2019 05:10:00 PM,03/31/2019 02:16:49 PM,Closed,7,Forest Hill,37.744289398193,-122.463233947754,
Web,"785 37TH AVE, SAN FRANCISCO, CA, 94121",Damaged_vandalism,01/25/2019 12:10:00 PM,03/31/2019 02:40:35 PM,Closed,1,Outer Richmond,37.7742619,-122.4974877,http://mobile311.sfgov.org/reports/10405111/photos
Web,"771 37TH AVE, SAN FRANCISCO, CA, 94121",Damaged_vandalism,02/13/2019 02:39:00 PM,03/31/2019 02:39:12 PM,Closed,1,Outer Richmond,37.7743369,-122.4974827,
Web,"479 LAKESHORE DR, SAN FRANCISCO, CA, 94132",Damaged_vandalism,02/14/2019 06:48:00 AM,03/31/2019 02:53:27 PM,Closed,7,Lakeshore,37.732484460229,-122.494152870941,
Web,"199 SAN ALESO AVE, SAN FRANCISCO, CA, 94127",Damaged_vandalism,02/14/2019 07:33:00 AM,03/31/2019 02:52:49 PM,Closed,7,Balboa Terrace,37.730238,-122.4651453,http://mobile311.sfgov.org/reports/10487421/photos
Mobile/Open311,"719 34TH AVE, SAN FRANCISCO, CA, 94121",Damaged_vandalism,02/14/2019 11:12:00 AM,03/31/2019 02:39:36 PM,Closed,1,Outer Richmond,37.775454511901,-122.494168030212,http://mobile311.sfgov.org/reports/10488744/photos
Phone,Intersection of SAINT FRANCIS BLVD and JUNIPERO SERRA BLVD,Fallen_tree,02/14/2019 01:21:00 PM,03/31/2019 02:43:55 PM,Closed,7,St. Francis Wood,37.734649658203,-122.471153259277,
Mobile/Open311,"391 MOSCOW ST, SAN FRANCISCO, CA, 94112",Other,02/14/2019 03:14:00 PM,03/31/2019 02:41:41 PM,Closed,11,Excelsior,37.721405443771,-122.427415056268,http://mobile311.sfgov.org/reports/10490245/photos
Phone,"1435 45TH AVE, SAN FRANCISCO, CA, 94122",Fallen_tree,02/14/2019 04:05:00 PM,03/31/2019 02:38:37 PM,Closed,4,Outer Sunset,37.759777069092,-122.504943847656,
Web,"255 10TH AVE, SAN FRANCISCO, CA, 94118",Damaged_vandalism,02/14/2019 09:30:16 PM,03/31/2019 02:34:07 PM,Closed,1,Inner Richmond,37.7835681,-122.4690371,http://mobile311.sfgov.org/reports/10491548/photos
